01000000-7;03000000-1
01100000-8;03110000-5
01110000-1;03200000-3
01111000-8;03211000-3
01111100-9;03211100-4
01111110-2;03211110-7
01111120-5;03211120-0
01111200-0;03211200-5
01111300-1;03211300-6
01111400-2;03211400-7
01111500-3;03211500-8
01111600-4;03211600-9
01111700-5;03211700-0
01111900-7;03211900-2
01112000-5;03212000-0
01112100-6;03212100-1
01112200-7;03212200-2
01112210-0;03212210-5
01112211-7;03212211-2
01112212-4;03212212-9
01112213-1;03212213-6
01112220-3;03212220-8
01113000-2;03111000-2
01113100-3;03111100-3
01113200-4;03111200-4
01113300-5;03111300-5
01113400-6;03111400-6
01113500-7;03111500-7
01113600-8;03111600-8
01114000-9;03112000-9
01115000-6;03113000-6
01115100-7;03113100-7
01115200-8;03113200-8
01116000-3;03114000-3
01116100-4;03114100-4
01116200-5;03114200-5
01117000-0;03115000-0
01117100-1;03115100-1
01117110-4;03115110-4
01117120-7;03115120-7
01117130-0;03115130-0
01118000-7;03116000-7
01118100-8;03116100-8
01118200-9;03116200-9
01118210-2;03116300-0
01119000-4;03117000-4
01119100-5;03117100-5
01119110-8;03117110-8
01119120-1;03117120-1
01119130-4;03117130-4
01119140-7;03117140-7
01119200-6;03117200-6
01120000-4;03120000-8
01121000-1;03221000-6
01121100-2;03221100-7
01121110-5;03221110-0
01121111-2;03221111-7
01121112-9;03221112-4
01121113-6;03221113-1
01121114-3;03221114-8
01121120-8;03221120-3
01121200-3;03221200-8
01121210-6;03221210-1
01121211-3;03221211-8
01121212-0;03221212-5
01121213-7;03221213-2
01121220-9;03221220-4
01121221-6;03221221-1
01121222-3;03221222-8
01121230-2;03221230-7
01121240-5;03221240-0
01121250-8;03221250-3
01121260-1;03221260-6
01121270-4;03221270-9
01121300-4;03221300-9
01121310-7;03221310-2
01121320-0;03221320-5
01121330-3;03221330-8
01121340-6;03221340-1
01121400-5;03221400-0
01121410-8;03221410-3
01121420-1;03221420-6
01121430-4;03221430-9
01121440-7;03221440-2
01121500-6;03111700-9
01122000-8;03121000-5
01122100-9;03121100-6
01122200-0;03121200-7
01122210-3;03121210-0
01122300-1;03111900-1
01130000-7;03130000-1
01131000-4;03222000-3
01131100-5;03222100-4
01131110-8;03222110-7
01131111-5;03222111-4
01131112-2;03222112-1
01131113-9;03222113-8
01131114-6;03222114-5
01131115-3;03222115-2
01131116-0;03222116-9
01131117-7;03222117-6
01131118-4;03222118-3
01131120-1;03222120-0
01131200-6;03222200-5
01131210-9;03222210-8
01131220-2;03222220-1
01131230-5;03222230-4
01131240-8;03222240-7
01131250-1;03222250-0
01131300-7;03222300-6
01131310-0;03222310-9
01131311-7;03222311-6
01131312-4;03222312-3
01131313-1;03222313-0
01131314-8;03222314-7
01131315-5;03222315-4
01131320-3;03222320-2
01131321-0;03222321-9
01131322-7;03222322-6
01131323-4;03222323-3
01131330-6;03222330-5
01131331-3;03222331-2
01131332-0;03222332-9
01131333-7;03222333-6
01131334-4;03222334-3
01131340-9;03222340-8
01131341-6;03222341-5
01131342-3;03222342-2
01131400-8;03222400-7
01131500-9;03111800-0
01132000-1;03131000-8
01132100-2;03131100-9
01132200-3;03131200-0
01132300-4;03131300-1
01132400-5;03131400-2
01133000-8;03132000-5
01200000-9;03140000-4
01210000-2;03320000-8
01211000-9;03321000-5
01211100-0;03321100-6
01211200-1;03321200-7
01212000-6;03333000-4
01213000-3;03141000-1
01220000-5;03330000-3
01221000-2;03322000-2
01221100-3;03322100-3
01221200-4;03322200-4
01221300-5;03322300-5
01222000-9;03331000-0
01222100-0;03331100-1
01222200-1;03331200-2
01223000-6;03332000-7
01223100-7;03332100-8
