ORIGINAL_CODE,PLAIN_CODE,NUM_DIGITS,REAL_CODE,NAME
03000000-1,03000000,2,03,"Agricultural, farming, fishing, forestry and related products"
03100000-2,03100000,3,031,Agricultural and horticultural products
03110000-5,03110000,4,0311,"Crops, products of market gardening and horticulture"
03111000-2,03111000,5,03111,Seeds
03111100-3,03111100,6,031111,Soya beans
03111200-4,03111200,6,031112,Peanuts
03111300-5,03111300,6,031113,Sunflower seeds
03111400-6,03111400,6,031114,Cotton seeds
03111500-7,03111500,6,031115,Sesame seeds
03111600-8,03111600,6,031116,Mustard seeds
03111700-9,03111700,6,031117,Vegetable seeds
03111800-0,03111800,6,031118,Fruit seeds
03111900-1,03111900,6,031119,Flower seeds
03112000-9,03112000,5,03112,Unmanufactured tobacco
03113000-6,03113000,5,03113,Plants used for sugar manufacturing
03113100-7,03113100,6,031131,Sugar beet
03113200-8,03113200,6,031132,Sugar cane
03114000-3,03114000,5,03114,Straw and forage
03114100-4,03114100,6,031141,Straw
03114200-5,03114200,6,031142,Forage
03115000-0,03115000,5,03115,Raw vegetable materials
03115100-1,03115100,6,031151,Raw vegetable materials used in textile production
03115110-4,03115110,7,0311511,Cotton
03115120-7,03115120,7,0311512,Jute
03115130-0,03115130,7,0311513,Flax
03116000-7,03116000,5,03116,"Natural rubber and latex, and associated products"
03116100-8,03116100,6,031161,Natural rubber
03116200-9,03116200,6,031162,Natural latex
03116300-0,03116300,6,031163,Latex products
03117000-4,03117000,5,03117,Plants used in specific fields
03117100-5,03117100,6,031171,"Plants used in perfumery or pharmacy, or for insecticidal or similar purposes"
03117110-8,03117110,7,0311711,Plants used in perfumery
03117120-1,03117120,7,0311712,Plants used in pharmacy
03117130-4,03117130,7,0311713,Plants used for insecticidal purposes
03117140-7,03117140,7,0311714,Plants used for fungicidal or similar purposes
03117200-6,03117200,6,031172,Seeds of plants used in specific fields
03120000-8,03120000,4,0312,Horticultural and nursery products
03121000-5,03121000,5,03121,Horticultural products
03121100-6,03121100,6,031211,"Live plants, bulbs, roots, cuttings and slips"
03121200-7,03121200,6,031212,Cut flowers
03121210-0,03121210,7,0312121,Floral arrangements
03130000-1,03130000,4,0313,Beverage and spice crops
03131000-8,03131000,5,03131,Beverage crops
03131100-9,03131100,6,031311,Coffee beans
03131200-0,03131200,6,031312,Tea bushes
03131300-1,03131300,6,031313,Mat�
03131400-2,03131400,6,031314,Cocoa beans
03132000-5,03132000,5,03132,Unprocessed spices
03140000-4,03140000,4,0314,Animal products and related products
03141000-1,03141000,5,03141,Bulls' semen
03142000-8,03142000,5,03142,Animal products
03142100-9,03142100,6,031421,Natural honey
03142200-0,03142200,6,031422,Snails
03142300-1,03142300,6,031423,Edible products of animal origin
03142400-2,03142400,6,031424,Waxes
03142500-3,03142500,6,031425,Eggs
03143000-5,03143000,5,03143,Products of mixed farming
03144000-2,03144000,5,03144,Agricultural supplies
03200000-3,03200000,3,032,"Cereals, potatoes, vegetables, fruits and nuts"
03210000-6,03210000,4,0321,Cereals and potatoes
03211000-3,03211000,5,03211,Cereals
03211100-4,03211100,6,032111,Wheat
03211110-7,03211110,7,0321111,Durum wheat
03211120-0,03211120,7,0321112,Soft wheat
03211200-5,03211200,6,032112,Maize
03211300-6,03211300,6,032113,Rice
03211400-7,03211400,6,032114,Barley
03211500-8,03211500,6,032115,Rye
03211600-9,03211600,6,032116,Oats
03211700-0,03211700,6,032117,Malt
03211900-2,03211900,6,032119,Grain products
03212000-0,03212000,5,03212,Potatoes and dried vegetables
03212100-1,03212100,6,032121,Potatoes
03212200-2,03212200,6,032122,Dried leguminous vegetables and pulses
03212210-5,03212210,7,0321221,Dried leguminous vegetables
03212211-2,03212211,8,03212211,Lentils
03212212-9,03212212,8,03212212,Chick peas
03212213-6,03212213,8,03212213,Dried peas
03212220-8,03212220,7,0321222,Pulses
03220000-9,03220000,4,0322,"Vegetables, fruits and nuts"
03221000-6,03221000,5,03221,Vegetables
03221100-7,03221100,6,032211,Root and tuber vegetables
03221110-0,03221110,7,0322111,Root vegetables
03221111-7,03221111,8,03221111,Beetroot
03221112-4,03221112,8,03221112,Carrots
03221113-1,03221113,8,03221113,Onions
03221114-8,03221114,8,03221114,Turnips
03221120-3,03221120,7,0322112,Tuber vegetables
03221200-8,03221200,6,032212,Fruit vegetables
03221210-1,03221210,7,0322121,Beans
03221211-8,03221211,8,03221211,Broad beans
03221212-5,03221212,8,03221212,Green beans
03221213-2,03221213,8,03221213,Runner beans
03221220-4,03221220,7,0322122,Peas
03221221-1,03221221,8,03221221,Garden peas
03221222-8,03221222,8,03221222,Mange-tout
03221230-7,03221230,7,0322123,Peppers
03221240-0,03221240,7,0322124,Tomatoes
03221250-3,03221250,7,0322125,Courgettes
03221260-6,03221260,7,0322126,Mushrooms
03221270-9,03221270,7,0322127,Cucumbers
03221300-9,03221300,6,032213,Leaf vegetables
03221310-2,03221310,7,0322131,Lettuce
03221320-5,03221320,7,0322132,Salad leaves
03221330-8,03221330,7,0322133,Artichokes
03221340-1,03221340,7,0322134,Spinach
03221400-0,03221400,6,032214,Cabbage vegetables
03221410-3,03221410,7,0322141,Cabbage
03221420-6,03221420,7,0322142,Cauliflower
03221430-9,03221430,7,0322143,Broccoli
03221440-2,03221440,7,0322144,Brussels sprouts
03222000-3,03222000,5,03222,Fruit and nuts
03222100-4,03222100,6,032221,Tropical fruit and nuts
03222110-7,03222110,7,0322211,Tropical fruit
03222111-4,03222111,8,03222111,Bananas
03222112-1,03222112,8,03222112,Pineapples
03222113-8,03222113,8,03222113,Mangoes
03222114-5,03222114,8,03222114,Dates
03222115-2,03222115,8,03222115,Raisins
03222116-9,03222116,8,03222116,Figs
03222117-6,03222117,8,03222117,Avocados
03222118-3,03222118,8,03222118,Kiwi fruit
03222120-0,03222120,7,0322212,Coconuts
03222200-5,03222200,6,032222,Citrus fruit
03222210-8,03222210,7,0322221,Lemons
03222220-1,03222220,7,0322222,Oranges
03222230-4,03222230,7,0322223,Grapefruit
03222240-7,03222240,7,0322224,Tangerines
03222250-0,03222250,7,0322225,Limes
03222300-6,03222300,6,032223,Non-tropical fruit
03222310-9,03222310,7,0322231,Berry fruit
03222311-6,03222311,8,03222311,Currants
03222312-3,03222312,8,03222312,Gooseberries
