Id,Contracts acquired,Contracts awarded,Average competition,Average competition (Cat),Authority,Company
academisch-ziekenhuis-leiden,0,3,4,4,true,false
aeres-groep,0,2,6,6,true,false
alfa-college,0,1,1,1,true,false
alliander-nv,0,2,3.5,3,true,false
amc,0,2,2,2,true,false
avans-hogeschool-te-tilburg,0,2,1.5,1,true,false
belastingdienst-iuc-belastingdienst,0,3,1,1,true,false
bestuur-regio-utrecht-projectorganisatie-uithoflijn,0,1,5,5,true,false
bestuurscentrum-gemeente-meerssen,0,1,1,1,true,false
bizob-namens-de-gemeenten-best-oirschot-en-veldhoven,0,3,46.6666666666667,6+,true,false
bizob-namens-meierijgemeenten-boxtel-haaren-schijndel-sint-michielsgestel-en-vught,0,2,1,1,true,false
bkwi-zelfstandig-opererend-onderdeel-van-uwv,0,1,4,4,true,false
bureau-inkoop-en-aanbestedingen-zuidoost-brabant,0,2,37,6+,true,false
bureau-inkoop-en-aanbestedingen-zuidoost-brabant-namens-peelgemeenten,0,7,67.5714285714286,6+,true,false
cak,0,3,16,6+,true,false
centraal-bureau-voor-de-statistiek-cbs,0,1,4,4,true,false
cibap,0,1,6,6,true,false
cyclus-nv,0,1,2,2,true,false
defensie-materieel-organisatie,0,5,2.2,2,true,false
dienst-justitiele-inrichtingen,0,3,8.66666666666667,6+,true,false
dienst-justitiele-inrichtingen-ssc,0,1,3,3,true,false
dienst-publiek-en-communicatie,0,4,8,6+,true,false
drents-openbaar-vo-convenant,0,1,1,1,true,false
dunea-nv,0,1,5,5,true,false
eemsdeltacollege,0,1,2,2,true,false
erasmus-mc,0,1,5,5,true,false
gemeente-aa-en-hunze,0,1,3,3,true,false
gemeente-almere,0,4,3.75,3,true,false
gemeente-alphen-aan-den-rijn,0,1,4,4,true,false
gemeente-amstelveen,0,2,2.5,2,true,false
gemeente-amsterdam,0,21,10.6666666666667,6+,true,false
gemeente-amsterdam-dienst-infrastructuur-verkeer-en-vervoer,0,11,3.18181818181818,3,true,false
gemeente-amsterdam-ontwikkelingsbedrijf-gebiedsontwikkeling-oost,0,1,11,6+,true,false
gemeente-apeldoorn,0,8,12.125,6+,true,false
gemeente-bergen,0,2,4,4,true,false
gemeente-bergen-op-zoom,0,9,4.33333333333333,4,true,false
gemeente-berkelland,0,1,3,3,true,false
gemeente-best,0,1,1,1,true,false
gemeente-bladel,0,1,1,1,true,false
gemeente-breda,0,4,3.25,3,true,false
gemeente-capelle-aan-den-ijssel,0,1,4,4,true,false
gemeente-de-friese-meren,0,83,83,6+,true,false
gemeente-delft,0,1,11,6+,true,false
gemeente-den-haag,0,13,3.23076923076923,3,true,false
gemeente-dordrecht,0,2,2,2,true,false
gemeente-echt-susteren,0,1,1,1,true,false
gemeente-ede,0,2,8.5,6+,true,false
gemeente-eindhoven,0,6,2.66666666666667,2,true,false
gemeente-eindhoven-sector-realisatie-en-beheer,0,8,5.625,5,true,false
gemeente-enschede,0,1,3,3,true,false
gemeente-epe,0,1,7,6+,true,false
gemeente-etten-leur,0,1,1,1,true,false
gemeente-goeree-overflakkee,0,1,1,1,true,false
gemeente-gouda,0,1,3,3,true,false
gemeente-haarlem,0,1,1,1,true,false
gemeente-haarlemmermeer,0,3,6,6,true,false
gemeente-heemstede,0,1,1,1,true,false
gemeente-heerlen,0,1,1,1,true,false
gemeente-heiloo,0,1,1,1,true,false
gemeente-hof-van-twente,0,8,11,6+,true,false
gemeente-hollands-kroon,0,1,2,2,true,false
gemeente-hoorn,0,2,2.5,2,true,false
gemeente-houten,0,72,72,6+,true,false
gemeente-kampen,0,1,11,6+,true,false
gemeente-landgraaf,0,2,2,2,true,false
gemeente-langedijk,0,1,1,1,true,false
gemeente-lansingerland,0,4,4,4,true,false
gemeente-leerdam,0,1,4,4,true,false
gemeente-leeuwarden,0,1,6,6,true,false
gemeente-lelystad,0,1,13,6+,true,false
gemeente-maastricht,0,6,8.16666666666667,6+,true,false
gemeente-moerdijk,0,2,1,1,true,false
gemeente-oss,0,1,56,6+,true,false
gemeente-oud-beijerland,0,1,10,6+,true,false
gemeente-pijnacker-nootdorp,0,1,1,1,true,false
gemeente-purmerend,0,2,6,6,true,false
gemeente-rheden-gemeentehuis,0,4,2,2,true,false
gemeente-rijswijk,0,3,10,6+,true,false
gemeente-roosendaal,0,1,2,2,true,false
